COM,age,socio_pro_category
081110000000,20,1
081110000000,20,1
081110000000,20,1
081110000000,20,1
081110000000,20,1
081110000000,20,1
081110000000,20,1
081110000000,20,1
081110000000,20,1
081110000000,20,1
081110000000,25,1
081110000000,25,1
081110000000,25,1
081110000000,25,1
081110000000,25,1
081110000000,25,1
081110000000,25,1
081110000000,25,1
081110000000,25,1
081110000000,25,1
081110000000,25,1
081110000000,25,1
081110000000,25,1
081110000000,25,1
081110000000,25,1
081110000000,25,1
081110000000,25,1
081110000000,25,1
081110000000,25,1
081110000000,25,1
081110000000,25,1
081110000000,25,1
081110000000,25,1
081110000000,25,1
081110000000,25,1
081110000000,25,1
081110000000,25,1
081110000000,30,1
081110000000,30,1
081110000000,30,1
081110000000,30,1
081110000000,30,1
081110000000,30,1
081110000000,30,1
081110000000,30,1
081110000000,30,1
081110000000,30,1
081110000000,30,1
081110000000,30,1
081110000000,30,1
081110000000,30,1
081110000000,30,1
081110000000,30,1
081110000000,30,1
081110000000,30,1
081110000000,30,1
081110000000,30,1
081110000000,30,1
081110000000,30,1
081110000000,30,1
081110000000,30,1
081110000000,30,1
081110000000,30,1
081110000000,30,1
081110000000,30,1
081110000000,30,1
081110000000,30,1
081110000000,30,1
081110000000,30,1
081110000000,30,1
081110000000,30,1
081110000000,35,1
081110000000,35,1
081110000000,35,1
081110000000,35,1
081110000000,35,1
081110000000,35,1
081110000000,35,1
081110000000,35,1
081110000000,35,1
081110000000,35,1
081110000000,35,1
081110000000,35,1
081110000000,35,1
081110000000,35,1
081110000000,35,1
081110000000,35,1
081110000000,35,1
081110000000,35,1
081110000000,35,1
081110000000,35,1
081110000000,35,1
081110000000,35,1
081110000000,35,1
081110000000,35,1
081110000000,35,1
081110000000,35,1
081110000000,35,1
081110000000,35,1
081110000000,35,1
081110000000,35,1
081110000000,35,1
081110000000,35,1
081110000000,35,1
081110000000,35,1
081110000000,35,1
081110000000,35,1
081110000000,40,1
081110000000,40,1
081110000000,40,1
081110000000,40,1
081110000000,40,1
081110000000,40,1
081110000000,40,1
081110000000,40,1
081110000000,40,1
081110000000,40,1
081110000000,40,1
081110000000,40,1
081110000000,40,1
081110000000,40,1
081110000000,40,1
081110000000,40,1
081110000000,40,1
081110000000,40,1
081110000000,40,1
081110000000,40,1
081110000000,40,1
081110000000,40,1
081110000000,40,1
081110000000,40,1
081110000000,40,1
081110000000,40,1
081110000000,40,1
081110000000,40,1
081110000000,40,1
081110000000,40,1
081110000000,40,1
081110000000,40,1
081110000000,40,1
081110000000,40,1
081110000000,40,1
081110000000,40,1
081110000000,40,1
081110000000,45,1
081110000000,45,1
081110000000,45,1
081110000000,45,1
081110000000,45,1
081110000000,45,1
081110000000,45,1
081110000000,45,1
081110000000,45,1
081110000000,45,1
081110000000,45,1
081110000000,45,1
081110000000,45,1
081110000000,45,1
081110000000,45,1
081110000000,45,1
081110000000,45,1
081110000000,45,1
081110000000,45,1
081110000000,45,1
081110000000,45,1
081110000000,45,1
081110000000,45,1
081110000000,45,1
081110000000,45,1
081110000000,45,1
081110000000,45,1
081110000000,45,1
081110000000,45,1
081110000000,45,1
081110000000,45,1
081110000000,45,1
081110000000,45,1
081110000000,45,1
081110000000,45,1
081110000000,45,1
081110000000,50,1
081110000000,50,1
081110000000,50,1
081110000000,50,1
081110000000,50,1
081110000000,50,1
081110000000,50,1
081110000000,50,1
081110000000,50,1
081110000000,50,1
081110000000,50,1
081110000000,50,1
081110000000,50,1
081110000000,50,1
081110000000,50,1
081110000000,50,1
081110000000,50,1
081110000000,50,1
081110000000,50,1
081110000000,50,1
081110000000,50,1
081110000000,50,1
081110000000,50,1
081110000000,50,1
081110000000,50,1
081110000000,50,1
081110000000,50,1
081110000000,50,1
081110000000,50,1
081110000000,50,1
081110000000,50,1
081110000000,50,1
081110000000,50,1
081110000000,50,1
081110000000,55,1
081110000000,55,1
081110000000,55,1
081110000000,55,1
081110000000,55,1
081110000000,55,1
081110000000,55,1
081110000000,55,1
081110000000,55,1
081110000000,55,1
081110000000,55,1
081110000000,55,1
081110000000,55,1
081110000000,55,1
081110000000,55,1
081110000000,55,1
081110000000,55,1
081110000000,55,1
081110000000,55,1
081110000000,55,1
081110000000,55,1
081110000000,55,1
081110000000,55,1
081110000000,55,1
081110000000,55,1
081110000000,55,1
081110000000,55,1
081110000000,55,1
081110000000,55,1
081110000000,55,1
081110000000,55,1
081110000000,55,1
081110000000,55,1
081110000000,55,1
081110000000,60,1
081110000000,60,1
081110000000,60,1
081110000000,60,1
081110000000,60,1
081110000000,60,1
081110000000,60,1
081110000000,60,1
081110000000,60,1
081110000000,60,1
081110000000,60,1
081110000000,60,1
081110000000,60,1
081110000000,60,1
081110000000,60,1
081110000000,60,1
081110000000,60,1
081110000000,60,1
081110000000,60,1
081110000000,60,1
081110000000,60,1
081110000000,60,1
081110000000,60,1
081110000000,60,1
081110000000,60,1
081110000000,60,1
081110000000,60,1
081110000000,60,1
081110000000,60,1
081110000000,60,1
081110000000,60,1
081110000000,60,1
081110000000,60,1
081110000000,60,1
081110000000,60,1
081110000000,60,1
081110000000,60,1
081110000000,60,1
081110000000,60,1
081110000000,60,1
081110000000,60,1
081110000000,65,1
081110000000,65,1
081110000000,65,1
081110000000,65,1
081110000000,65,1
081110000000,65,1
081110000000,65,1
081110000000,65,1
081110000000,65,1
081110000000,65,1
081110000000,65,1
081110000000,65,1
081110000000,65,1
081110000000,65,1
081110000000,65,1
081110000000,65,1
081110000000,65,1
081110000000,65,1
081110000000,65,1
081110000000,65,1
081110000000,65,1
081110000000,65,1
081110000000,65,1
081110000000,65,1
081110000000,65,1
081110000000,65,1
081110000000,65,1
081110000000,65,1
081110000000,65,1
081110000000,65,1
081110000000,65,1
081110000000,65,1
081110000000,65,1
081110000000,65,1
081110000000,65,1
081110000000,70,1
081110000000,70,1
081110000000,70,1
081110000000,70,1
081110000000,70,1
081110000000,70,1
081110000000,70,1
081110000000,70,1
081110000000,70,1
081110000000,70,1
081110000000,75,1
081110000000,75,1
081110000000,75,1
081110000000,75,1
081110000000,80,1
081110000000,80,1
081155001001,30,1
081155001001,35,1
081155001001,40,1
081155001001,45,1
081155001001,50,1
081155001001,55,1
081155001001,60,1
081155001001,65,1
081150003003,20,1
081150003003,25,1
081150003003,25,1
081150003003,30,1
081150003003,30,1
081150003003,30,1
081150003003,35,1
081150003003,35,1
081150003003,35,1
081150003003,40,1
081150003003,40,1
081150003003,40,1
081150003003,45,1
081150003003,45,1
081150003003,45,1
081150003003,50,1
081150003003,50,1
081150003003,50,1
081150003003,55,1
081150003003,55,1
081150003003,55,1
081150003003,60,1
081150003003,60,1
081150003003,60,1
081150003003,65,1
081150003003,65,1
081150003003,65,1
081150003003,70,1
081155002013,30,1
081155002013,35,1
081155002013,40,1
081155002013,45,1
081155002013,50,1
081155002013,55,1
081155002013,60,1
081155002013,65,1
081155002015,25,1
081155002015,30,1
081155002015,35,1
081155002015,40,1
081155002015,45,1
081155002015,50,1
081155002015,55,1
081155002015,60,1
081155002015,65,1
081155005016,30,1
081155005016,35,1
081155005016,40,1
081155005016,45,1
081155005016,50,1
081155005016,55,1
081155005016,60,1
081155005016,65,1
081155003021,20,1
081155003021,25,1
081155003021,30,1
081155003021,30,1
081155003021,35,1
081155003021,35,1
081155003021,40,1
081155003021,40,1
081155003021,45,1
081155003021,45,1
081155003021,50,1
081155003021,50,1
081155003021,55,1
081155003021,55,1
081155003021,60,1
081155003021,60,1
081155003021,65,1
081155003021,65,1
081155003021,70,1
081155004024,25,1
081155004024,30,1
081155004024,35,1
081155004024,40,1
081155004024,45,1
081155004024,50,1
081155004024,55,1
081155004024,60,1
081155004024,65,1
081150028028,20,1
081150028028,25,1
081150028028,25,1
081150028028,30,1
081150028028,30,1
081150028028,30,1
081150028028,35,1
081150028028,35,1
081150028028,35,1
081150028028,40,1
081150028028,40,1
081150028028,40,1
081150028028,45,1
081150028028,45,1
081150028028,45,1
081150028028,50,1
081150028028,50,1
081150028028,50,1
081150028028,55,1
081150028028,55,1
081150028028,55,1
081150028028,60,1
081150028028,60,1
081150028028,60,1
081150028028,65,1
081150028028,65,1
081150028028,65,1
081150028028,70,1
081150029029,30,1
081150029029,35,1
081150029029,40,1
081150029029,45,1
081150029029,50,1
081150029029,55,1
081150029029,60,1
081150029029,65,1
081150041041,25,1
081150041041,30,1
081150041041,35,1
081150041041,40,1
081150041041,45,1
081150041041,50,1
081150041041,55,1
081150041041,60,1
081150041041,65,1
081150042042,30,1
081150042042,35,1
081150042042,40,1
081150042042,45,1
081150042042,50,1
081150042042,55,1
081150042042,60,1
081150042042,65,1
081150044044,30,1
081150044044,35,1
081150044044,40,1
081150044044,45,1
081150044044,50,1
081150044044,55,1
081150044044,60,1
081150044044,65,1
081150045045,20,1
081150045045,25,1
081150045045,25,1
081150045045,25,1
081150045045,30,1
081150045045,30,1
081150045045,30,1
081150045045,35,1
081150045045,35,1
081150045045,35,1
081150045045,35,1
081150045045,40,1
081150045045,40,1
081150045045,40,1
081150045045,40,1
081150045045,45,1
081150045045,45,1
081150045045,45,1
081150045045,45,1
081150045045,50,1
081150045045,50,1
081150045045,50,1
081150045045,55,1
081150045045,55,1
081150045045,55,1
081150045045,60,1
081150045045,60,1
081150045045,60,1
081150045045,60,1
081150045045,65,1
081150045045,65,1
081150045045,65,1
081150045045,70,1
081155006048,35,1
081155006048,40,1
081155006048,45,1
081155006048,60,1
081150050050,25,1
081150050050,30,1
081150050050,35,1
081150050050,40,1
081150050050,45,1
081150050050,50,1
081150050050,55,1
081150050050,60,1
081150050050,65,1
081150051051,30,1
081150051051,35,1
081150051051,40,1
081150051051,45,1
081150051051,50,1
081150051051,55,1
081150051051,60,1
081150051051,65,1
081150052052,60,1
081155005053,60,1
081160015015,30,1
081160015015,35,1
081160015015,40,1
081160015015,45,1
081160015015,50,1
081160015015,55,1
081160015015,60,1
081160015015,65,1
081160019019,20,1
081160019019,20,1
081160019019,25,1
081160019019,25,1
081160019019,25,1
081160019019,25,1
081160019019,30,1
081160019019,30,1
081160019019,30,1
081160019019,30,1
081160019019,30,1
081160019019,35,1
081160019019,35,1
081160019019,35,1
081160019019,35,1
081160019019,35,1
081160019019,35,1
081160019019,40,1
081160019019,40,1
081160019019,40,1
081160019019,40,1
081160019019,40,1
081160019019,40,1
081160019019,45,1
081160019019,45,1
081160019019,45,1
081160019019,45,1
081160019019,45,1
081160019019,45,1
081160019019,50,1
081160019019,50,1
081160019019,50,1
081160019019,50,1
081160019019,50,1
081160019019,55,1
081160019019,55,1
081160019019,55,1
081160019019,55,1
081160019019,55,1
081160019019,60,1
081160019019,60,1
081160019019,60,1
081160019019,60,1
081160019019,60,1
081160019019,60,1
081160019019,65,1
081160019019,65,1
081160019019,65,1
081160019019,65,1
081160019019,65,1
081160019019,70,1
081160019019,70,1
081160019019,75,1
081165005020,30,1
081165005020,35,1
081165005020,40,1
081165005020,45,1
081165005020,50,1
081165005020,55,1
081165005020,60,1
081165005020,65,1
081165001033,20,1
081165001033,25,1
081165001033,25,1
081165001033,30,1
081165001033,30,1
081165001033,35,1
081165001033,35,1
081165001033,40,1
081165001033,40,1
081165001033,40,1
081165001033,45,1
081165001033,45,1
081165001033,50,1
081165001033,50,1
081165001033,55,1
081165001033,55,1
081165001033,60,1
081165001033,60,1
081165001033,60,1
081165001033,65,1
081165001033,65,1
081165001033,70,1
081165009035,30,1
081165009035,35,1
081165009035,40,1
081165009035,45,1
081165009035,50,1
081165009035,55,1
081165009035,60,1
081165009035,65,1
081160047047,25,1
081160047047,30,1
081160047047,35,1
081160047047,40,1
081160047047,45,1
081160047047,50,1
081160047047,55,1
081160047047,60,1
081160047047,65,1
081165005049,20,1
081165005049,25,1
081165005049,25,1
081165005049,30,1
081165005049,30,1
081165005049,35,1
081165005049,35,1
081165005049,40,1
081165005049,40,1
081165005049,45,1
081165005049,45,1
081165005049,50,1
081165005049,50,1
081165005049,55,1
081165005049,55,1
081165005049,60,1
081165005049,60,1
081165005049,60,1
081165005049,65,1
081165005049,65,1
081165005049,70,1
081165006056,25,1
081165006056,30,1
081165006056,35,1
081165006056,40,1
081165006056,45,1
081165006056,50,1
081165006056,55,1
081165006056,60,1
081165006056,65,1
081165007058,40,1
081165007058,60,1
081165008070,30,1
081165008070,35,1
081165008070,40,1
081165008070,45,1
081165008070,50,1
081165008070,55,1
081165008070,60,1
081165008070,65,1
081165009071,25,1
081165009071,30,1
081165009071,35,1
081165009071,40,1
081165009071,45,1
081165009071,50,1
081165009071,55,1
081165009071,60,1
081165009071,65,1
081160072072,25,1
081160072072,30,1
081160072072,35,1
081160072072,40,1
081160072072,45,1
081160072072,50,1
081160072072,55,1
081160072072,60,1
081160072072,65,1
081160077077,20,1
081160077077,25,1
081160077077,25,1
081160077077,30,1
081160077077,30,1
081160077077,30,1
081160077077,35,1
081160077077,35,1
081160077077,35,1
081160077077,40,1
081160077077,40,1
081160077077,40,1
081160077077,45,1
081160077077,45,1
081160077077,45,1
081160077077,50,1
081160077077,50,1
081160077077,50,1
081160077077,55,1
081160077077,55,1
081160077077,55,1
081160077077,60,1
081160077077,60,1
081160077077,60,1
081160077077,65,1
081160077077,65,1
081160077077,65,1
081160077077,70,1
081160078078,20,1
081160078078,25,1
081160078078,25,1
081160078078,30,1
081160078078,30,1
081160078078,35,1
081160078078,35,1
081160078078,40,1
081160078078,40,1
081160078078,40,1
081160078078,45,1
081160078078,45,1
081160078078,50,1
081160078078,50,1
081160078078,55,1
081160078078,55,1
081160078078,60,1
081160078078,60,1
081160078078,60,1
081160078078,65,1
081160078078,65,1
081160078078,70,1
081165002079,60,1
081160080080,20,1
081160080080,25,1
081160080080,25,1
081160080080,30,1
081160080080,30,1
081160080080,35,1
081160080080,35,1
081160080080,40,1
081160080080,40,1
081160080080,45,1
081160080080,45,1
081160080080,50,1
081160080080,50,1
081160080080,55,1
081160080080,55,1
081160080080,60,1
081160080080,60,1
081160080080,60,1
081160080080,65,1
081160080080,65,1
081160080080,70,1
081160081081,30,1
081160081081,35,1
081160081081,40,1
081160081081,45,1
081160081081,50,1
081160081081,55,1
081160081081,60,1
081160081081,65,1
081175006015,30,1
081175006015,35,1
081175006015,40,1
081175006015,45,1
081175006015,50,1
081175006015,55,1
081175006015,60,1
081175006015,65,1
081175002018,25,1
081175002018,30,1
081175002018,35,1
081175002018,40,1
081175002018,45,1
081175002018,50,1
081175002018,55,1
081175002018,60,1
081175002018,65,1
081175003019,25,1
081175003019,30,1
081175003019,35,1
081175003019,40,1
081175003019,45,1
081175003019,50,1
081175003019,55,1
081175003019,60,1
081175003019,60,1
081175003019,65,1
081175004024,25,1
081175004024,30,1
081175004024,30,1
081175004024,35,1
081175004024,35,1
081175004024,40,1
081175004024,40,1
081175004024,45,1
081175004024,45,1
081175004024,50,1
081175004024,50,1
081175004024,55,1
081175004024,55,1
081175004024,60,1
081175004024,60,1
081175004024,65,1
081175004024,65,1
081175005026,20,1
081175005026,25,1
081175005026,25,1
081175005026,25,1
081175005026,30,1
081175005026,30,1
081175005026,30,1
081175005026,35,1
081175005026,35,1
081175005026,35,1
081175005026,40,1
081175005026,40,1
081175005026,40,1
081175005026,40,1
081175005026,45,1
081175005026,45,1
081175005026,45,1
081175005026,50,1
081175005026,50,1
081175005026,50,1
081175005026,55,1
081175005026,55,1
081175005026,55,1
081175005026,60,1
081175005026,60,1
081175005026,60,1
081175005026,60,1
081175005026,65,1
081175005026,65,1
081175005026,65,1
081175005026,70,1
081175003042,60,1
081175006049,30,1
081175006049,35,1
081175006049,40,1
081175006049,45,1
081175006049,50,1
081175006049,55,1
081175006049,60,1
081175006049,65,1
081175010051,25,1
081175010051,30,1
081175010051,35,1
081175010051,40,1
081175010051,45,1
081175010051,50,1
081175010051,55,1
081175010051,60,1
081175010051,65,1
081180003003,25,1
081180003003,30,1
081180003003,35,1
081180003003,40,1
081180003003,45,1
081180003003,50,1
081180003003,55,1
081180003003,60,1
081180003003,65,1
081185001007,25,1
081185001007,30,1
081185001007,35,1
081185001007,40,1
081185001007,45,1
081185001007,50,1
081185001007,55,1
081185001007,60,1
081185001007,65,1
081185003010,60,1
081180011011,25,1
081180011011,30,1
081180011011,35,1
081180011011,40,1
081180011011,45,1
081180011011,50,1
081180011011,55,1
081180011011,60,1
081180011011,60,1
081180011011,65,1
081180019019,25,1
081180019019,30,1
081180019019,35,1
081180019019,40,1
081180019019,45,1
081180019019,50,1
081180019019,55,1
081180019019,60,1
081180019019,65,1
081180021021,60,1
081185006027,60,1
081180046046,20,1
081180046046,25,1
081180046046,30,1
081180046046,30,1
081180046046,35,1
081180046046,35,1
081180046046,40,1
081180046046,40,1
081180046046,45,1
081180046046,45,1
081180046046,50,1
081180046046,50,1
081180046046,55,1
081180046046,55,1
081180046046,60,1
081180046046,60,1
081180046046,65,1
081180046046,65,1
081180046046,70,1
081180048048,20,1
081180048048,20,1
081180048048,25,1
081180048048,25,1
081180048048,25,1
081180048048,25,1
081180048048,30,1
081180048048,30,1
081180048048,30,1
081180048048,30,1
081180048048,30,1
081180048048,35,1
081180048048,35,1
081180048048,35,1
081180048048,35,1
081180048048,35,1
081180048048,40,1
081180048048,40,1
081180048048,40,1
081180048048,40,1
081180048048,40,1
081180048048,40,1
081180048048,45,1
081180048048,45,1
081180048048,45,1
081180048048,45,1
081180048048,45,1
081180048048,50,1
081180048048,50,1
081180048048,50,1
081180048048,50,1
081180048048,50,1
081180048048,55,1
081180048048,55,1
081180048048,55,1
081180048048,55,1
081180048048,55,1
081180048048,60,1
081180048048,60,1
081180048048,60,1
081180048048,60,1
081180048048,60,1
081180048048,60,1
081180048048,65,1
081180048048,65,1
081180048048,65,1
081180048048,65,1
081180048048,65,1
081180048048,70,1
081180048048,70,1
081180048048,75,1
081185005049,25,1
081185005049,30,1
081185005049,35,1
081185005049,40,1
081185005049,45,1
081185005049,50,1
081185005049,55,1
081185005049,60,1
081185005049,65,1
081180050050,25,1
081180050050,30,1
081180050050,35,1
081180050050,40,1
081180050050,45,1
081180050050,50,1
081180050050,55,1
081180050050,60,1
081180050050,65,1
081180051051,30,1
081180051051,35,1
081180051051,40,1
081180051051,45,1
081180051051,50,1
081180051051,55,1
081180051051,60,1
081180051051,65,1
081180060060,60,1
081185006067,30,1
081185006067,35,1
081185006067,40,1
081185006067,45,1
081185006067,50,1
081185006067,55,1
081185006067,60,1
081185006067,65,1
081185007070,25,1
081185007070,30,1
081185007070,35,1
081185007070,40,1
081185007070,45,1
081185007070,50,1
081185007070,55,1
081185007070,60,1
081185007070,65,1
081185002071,25,1
081185002071,30,1
081185002071,35,1
081185002071,40,1
081185002071,45,1
081185002071,50,1
081185002071,55,1
081185002071,60,1
081185002071,65,1
081185008073,25,1
081185008073,30,1
081185008073,30,1
081185008073,35,1
081185008073,35,1
081185008073,40,1
081185008073,40,1
